N;NORM;SW;METHOD;MAX_FT;CF;MAX_ITER;k;Accuracy;Hamming Loss
1;lemmatization;Yes;BinaryRelevance;1000;LogisticRegression;40;5;0,795534;0,011405
2;lemmatization;Yes;BinaryRelevance;1000;LogisticRegression;60;5;0,794828;0,011429
3;lemmatization;Yes;BinaryRelevance;1000;LogisticRegression;80;5;0,795322;0,011414
4;lemmatization;Yes;BinaryRelevance;1000;LogisticRegression;100;5;0,795322;0,011414
5;lemmatization;Yes;BinaryRelevance;2000;LogisticRegression;40;5;0,795675;0,011335
6;lemmatization;Yes;BinaryRelevance;2000;LogisticRegression;60;5;0,795816;0,011341
7;lemmatization;Yes;BinaryRelevance;2000;LogisticRegression;80;5;0,796169;0,011311
8;lemmatization;Yes;BinaryRelevance;2000;LogisticRegression;100;5;0,795816;0,011329
9;lemmatization;Yes;BinaryRelevance;4000;LogisticRegression;40;5;0,794617;0,011402
10;lemmatization;Yes;BinaryRelevance;4000;LogisticRegression;60;5;0,795675;0,011373
11;lemmatization;Yes;BinaryRelevance;4000;LogisticRegression;80;5;0,795252;0,011388
12;lemmatization;Yes;BinaryRelevance;4000;LogisticRegression;100;5;0,795322;0,011382
13;lemmatization;Yes;BinaryRelevance;6000;LogisticRegression;40;5;0,794829;0,01142
14;lemmatization;Yes;BinaryRelevance;6000;LogisticRegression;60;5;0,79504;0,011396
15;lemmatization;Yes;BinaryRelevance;6000;LogisticRegression;80;5;0,795111;0,011396
16;lemmatization;Yes;BinaryRelevance;6000;LogisticRegression;100;5;0,795181;0,011391
17;lemmatization;Yes;LabelPowerset;1000;LogisticRegression;40;5;0,818808;0,013418
18;lemmatization;Yes;LabelPowerset;1000;LogisticRegression;60;5;0,822053;0,012928
19;lemmatization;Yes;LabelPowerset;1000;LogisticRegression;80;5;0,822687;0,012816
20;lemmatization;Yes;LabelPowerset;1000;LogisticRegression;100;5;0,823181;0,012787
21;lemmatization;Yes;LabelPowerset;2000;LogisticRegression;40;5;0,818527;0,01355
22;lemmatization;Yes;LabelPowerset;2000;LogisticRegression;60;5;0,823746;0,012807
23;lemmatization;Yes;LabelPowerset;2000;LogisticRegression;80;5;0,824803;0,012625
24;lemmatization;Yes;LabelPowerset;2000;LogisticRegression;100;5;0,826002;0,012493
25;lemmatization;Yes;LabelPowerset;4000;LogisticRegression;40;5;0,819867;0,013327
26;lemmatization;Yes;LabelPowerset;4000;LogisticRegression;60;5;0,821982;0,01293
27;lemmatization;Yes;LabelPowerset;4000;LogisticRegression;80;5;0,824169;0,012678
28;lemmatization;Yes;LabelPowerset;4000;LogisticRegression;100;5;0,82572;0,012537
29;lemmatization;Yes;LabelPowerset;6000;LogisticRegression;40;5;0,817539;0,013647
30;lemmatization;Yes;LabelPowerset;6000;LogisticRegression;60;5;0,822335;0,012927
31;lemmatization;Yes;LabelPowerset;6000;LogisticRegression;80;5;0,824028;0,012675
32;lemmatization;Yes;LabelPowerset;6000;LogisticRegression;100;5;0,825086;0,012604
33;lemmatization;Yes;BinaryRelevance;1000;LogisticRegression;40;10;0,803355;0,010903
34;lemmatization;Yes;BinaryRelevance;1000;LogisticRegression;60;10;0,802791;0,010915
35;lemmatization;Yes;BinaryRelevance;1000;LogisticRegression;80;10;0,803002;0,010897
36;lemmatization;Yes;BinaryRelevance;1000;LogisticRegression;100;10;0,802861;0,010903
37;lemmatization;Yes;BinaryRelevance;2000;LogisticRegression;40;10;0,804836;0,010771
38;lemmatization;Yes;BinaryRelevance;2000;LogisticRegression;60;10;0,804413;0,010815
39;lemmatization;Yes;BinaryRelevance;2000;LogisticRegression;80;10;0,804483;0,010812
40;lemmatization;Yes;BinaryRelevance;2000;LogisticRegression;100;10;0,804272;0,010818
41;lemmatization;Yes;BinaryRelevance;4000;LogisticRegression;40;10;0,804695;0,010812
42;lemmatization;Yes;BinaryRelevance;4000;LogisticRegression;60;10;0,804201;0,010824
43;lemmatization;Yes;BinaryRelevance;4000;LogisticRegression;80;10;0,804131;0,010818
44;lemmatization;Yes;BinaryRelevance;4000;LogisticRegression;100;10;0,80406;0,010818
45;lemmatization;Yes;BinaryRelevance;6000;LogisticRegression;40;10;0,804554;0,010824
46;lemmatization;Yes;BinaryRelevance;6000;LogisticRegression;60;10;0,804695;0,010806
47;lemmatization;Yes;BinaryRelevance;6000;LogisticRegression;80;10;0,804342;0,010824
48;lemmatization;Yes;BinaryRelevance;6000;LogisticRegression;100;10;0,804413;0,010821
49;lemmatization;Yes;LabelPowerset;1000;LogisticRegression;40;10;0,826771;0,012517
50;lemmatization;Yes;LabelPowerset;1000;LogisticRegression;60;10;0,830086;0,012138
51;lemmatization;Yes;LabelPowerset;1000;LogisticRegression;80;10;0,831708;0,01197
52;lemmatization;Yes;LabelPowerset;1000;LogisticRegression;100;10;0,831779;0,011991
53;lemmatization;Yes;LabelPowerset;2000;LogisticRegression;40;10;0,82924;0,012411
54;lemmatization;Yes;LabelPowerset;2000;LogisticRegression;60;10;0,834318;0,011764
55;lemmatization;Yes;LabelPowerset;2000;LogisticRegression;80;10;0,835024;0,011667
56;lemmatization;Yes;LabelPowerset;2000;LogisticRegression;100;10;0,836011;0,011567
57;lemmatization;Yes;LabelPowerset;4000;LogisticRegression;40;10;0,828394;0,01244
58;lemmatization;Yes;LabelPowerset;4000;LogisticRegression;60;10;0,833331;0,011802
59;lemmatization;Yes;LabelPowerset;4000;LogisticRegression;80;10;0,835165;0,011647
60;lemmatization;Yes;LabelPowerset;4000;LogisticRegression;100;10;0,836011;0,011582
61;lemmatization;Yes;LabelPowerset;6000;LogisticRegression;40;10;0,828394;0,012461
62;lemmatization;Yes;LabelPowerset;6000;LogisticRegression;60;10;0,834671;0,011776
63;lemmatization;Yes;LabelPowerset;6000;LogisticRegression;80;10;0,835376;0,011682
64;lemmatization;Yes;LabelPowerset;6000;LogisticRegression;100;10;0,835941;0,011626
